id_depute,nom,prenom,lien,naissance_j,naissance_m,naissance_a,deces_j,deces_m,deces_a,groupe_parlementaire,departement
1482,Casanova,"Laurent, Antoine",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1482,9,10,1906,20,3,1972,Communiste,Seine-et-Marne
1491,Cassagne,"René, Jean, Paul",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1491,16,7,1898,27,12,1967,Républicain radical et radical-socialiste,Basses-Pyrénées
1510,Castera,"Edmond, Odoïs",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1510,20,11,1907,23,10,1998,Communiste,Gers
1575,Cermolacce,"Paul, Antoine, Joseph",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1575,2,7,1912,15,5,1988,Communiste,Bouches-du-Rhône
1579,Césaire,"Aimé, Fernand, David",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1579,25,6,1913,17,4,2008,Communiste,Martinique
1670,Charlot,"Jean, Constant",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1670,26,1,1901,4,6,1976,Socialiste,Var
1705,Chatelain,"Roger, Louis, Jean",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1705,14,2,1913,7,1,1997,Républicain radical et radical-socialiste,Deux-Sèvres
1732,Chauvet,"Augustin, Jean, Alexis, Félix",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1732,28,6,1900,2,7,1988,Union démocratique et socialiste de la Résistance et du RDA,Cantal
1756,Cheikh,Saïd Mohamed Ben Chech Abdallah,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1756,1,7,1904,16,3,1970,Union démocratique et socialiste de la Résistance et du RDA,Comores
1761,Chène,André,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1761,25,12,1928,16,11,1996,Communiste,Loiret
1770,Cherrier,Marcel,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1770,3,11,1902,22,7,1985,Communiste,Cher
1860,Clostermann,"Pierre, Henri",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1860,28,2,1921,22,3,2006,Républicain radical et radical-socialiste,Seine
1885,Cogniot,"Georges, Auguste, Alexandre",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1885,15,12,1901,12,3,1978,Communiste,Seine
1936,Condat,"Georges, Mahaman",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1936,16,6,1924,25,10,2012,Union démocratique et socialiste de la Résistance et du RDA,Niger
1949,Conte,"Arthur, Léon",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1949,31,3,1920,26,12,2013,Socialiste,Pyrénées-Orientales
1954,Coquel,"Gaston, Hippolyte",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1954,4,1,1901,2,4,1983,Communiste,Pas-de-Calais
1961,Cordillot,Jean,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1961,17,3,1927,14,4,2016,Communiste,Yonne
1964,Cormier,"Maurice, François, Marcel, Joseph",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/1964,13,10,1918,25,9,1990,Socialiste,Mayenne
2020,Coulibaly,"Daniel, Ouezzin",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2020,1,7,1909,7,9,1958,Union démocratique et socialiste de la Résistance et du RDA,Côte-d'Ivoire
2047,Coutant,Robert,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2047,14,1,1908,15,7,1978,Socialiste,Nord
2073,Cristofol,"Jean, Joseph, Antoine",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2073,24,3,1901,21,11,1957,Communiste,Bouches-du-Rhône
2087,Cupfer,Guy,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2087,9,4,1908,21,5,1992,Républicain radical et radical-socialiste,Eure-et-Loir
2097,Dagain,Léon,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2097,15,7,1893,3,1,1958,Socialiste,Nièvre
2105,Daladier,Edouard,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2105,18,6,1884,10,10,1970,Républicain radical et radical-socialiste,Vaucluse
2137,Darou,Marcel,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2137,3,7,1896,29,1,1986,Socialiste,Nord
2174,David,Marcel,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2174,19,6,1901,19,12,1979,Socialiste,Landes
339,de Baillencourt,"Albert, Alix, Jacques, Hippolyte, Marie",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/339,30,3,1908,28,5,1994,Républicain radical et radical-socialiste,Seine
2952,de Felice,"Pierre, Henry, Rodolphe",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2952,13,12,1896,12,1,1978,Républicain radical et radical-socialiste,Loiret
7863,de Lipkowski,"Jean, Noël",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/7863,25,12,1920,20,9,1997,Républicain radical et radical-socialiste,Seine-et-Oise
5431,de Moro-Giafferri,"Vincent, Xavier, Etienne, Eugène",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5431,6,6,1878,22,11,1956,Républicain radical et radical-socialiste,Seine
2216,Defferre,Gaston,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2216,14,9,1910,7,5,1986,Socialiste,Bouches-du-Rhône
2223,Defrance,"Auguste, Léon, Isaïe",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2223,7,7,1901,20,10,1988,Communiste,Pas-de-Calais
2226,Degoutte,Lucien,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2226,19,7,1907,6,9,1963,Républicain radical et radical-socialiste,Rhône
2228,Degrond,"Céline, Victorine dite Germaine",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2228,3,6,1894,18,4,1991,Socialiste,Seine-et-Oise
2236,Deixonne,Maurice,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2236,8,6,1904,27,6,1987,Socialiste,Tarn
2239,Dejean,René,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2239,4,2,1915,27,7,1988,Socialiste,Ariège
2244,Delabre,"Camille, Louis, Jules",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2244,19,7,1906,1,10,2004,Socialiste,Pas-de-Calais
2364,Demusois,Antoine,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2364,4,7,1895,14,1,1968,Communiste,Seine-et-Oise
2375,Denis,"Alphonse, Léon",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2375,5,3,1906,19,4,1997,Communiste,Haute-Vienne
2388,Denvers,"Albert, Jérémie, Joseph, Cornil",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2388,21,2,1905,31,12,2006,Socialiste,Nord
2394,Depreux,"Edouard, Gustave, Hector",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2394,31,10,1898,16,10,1981,Socialiste,Seine
2448,Desouches,Edmond,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2448,28,6,1904,21,12,1997,Républicain radical et radical-socialiste,Eure-et-Loir
9087,Desson,Guy,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/9087,7,4,1909,4,4,1980,Socialiste,Ardennes
2481,Devinat,Paul,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2481,2,1,1890,1,5,1980,Républicain radical et radical-socialiste,Saône-et-Loire
2485,Dewasmes,Tarsyle,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2485,17,12,1906,31,5,1980,Socialiste,Nord
2497,Diallo,Saïfoulaye,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2497,1,7,1923,25,9,1981,Union démocratique et socialiste de la Résistance et du RDA,Guinée
2499,Diat,Jean,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2499,30,7,1919,3,3,2002,Communiste,Loire
2500,Dicko,Hamadoun,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2500,1,7,1924,30,6,1964,Socialiste,Soudan
2531,Doize,Pierre,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2531,6,11,1907,19,2,1979,Communiste,Bouches-du-Rhône
2576,Doutrellot,Pierre,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2576,24,9,1902,7,5,1986,Socialiste,Somme
2621,Dubois,Louis,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2621,23,7,1910,4,2,1970,Union démocratique et socialiste de la Résistance et du RDA,Nièvre
2652,Duclos,Jacques,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2652,2,10,1896,25,4,1975,Communiste,Seine
2655,Ducos,"Hippolyte, Roc, Aristide",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2655,4,10,1881,14,11,1970,Républicain radical et radical-socialiste,Haute-Garonne
2673,Dufour,"André, Maurice",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2673,13,7,1909,11,11,1995,Communiste,Isère
2695,Dumas,"Roland, Léon, Louis",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2695,23,7,1922,,,,Union démocratique et socialiste de la Résistance et du RDA,Haute-Vienne
2709,Dumortier,"Jeannil, Fernand, Edouard",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2709,28,6,1911,18,2,1993,Socialiste,Pas-de-Calais
2720,Dupont,Louis,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2720,7,9,1912,10,4,2004,Communiste,Meurthe-et-Moselle
2727,Duprat,Raymond dit Gérard,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2727,4,10,1912,3,10,1980,Communiste,Lot-et-Garonne
2739,Dupuy,Marc,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2739,15,12,1889,9,6,1979,Communiste,Gironde
2780,Durroux,Jean,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2780,6,7,1910,21,5,1964,Socialiste,Ariège
2804,Duveau,Roger,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2804,5,7,1907,19,1,1985,Union démocratique et socialiste de la Résistance et du RDA,Madagascar
2805,Duvernois,Eugénie,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2805,21,9,1909,11,5,1983,Communiste,Seine-et-Oise
2851,Estachy Née Paimpec,Yvonne,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2851,6,4,1907,16,7,1985,Communiste,Bouches-du-Rhône
2863,Eudier,Louis,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2863,20,4,1903,11,7,1986,Communiste,Seine-Maritime
2869,Évrard,Just,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2869,31,5,1898,9,2,1972,Socialiste,Pas-de-Calais
2888,Faggianelli,Jacques,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2888,18,11,1901,30,4,1989,Républicain radical et radical-socialiste,Corse
2895,Fajon,Etienne,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2895,11,9,1906,4,12,1991,Communiste,Seine
2906,Faraud,Roger,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2906,7,5,1903,8,4,1987,Socialiste,Charente-Maritime
2932,Faure,Maurice,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2932,2,1,1922,6,3,2014,Républicain radical et radical-socialiste,Lot
2955,Félix-Tchicaya,Jean,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/2955,9,11,1903,16,1,1961,Union démocratique et socialiste de la Résistance et du RDA,Moyen-Congo
3105,Fourvel,Eugène,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3105,9,2,1906,3,7,1986,Communiste,Puy-de-Dôme
3129,François-Bénard,Marie,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3129,2,2,1917,13,9,1986,Union démocratique et socialiste de la Résistance et du RDA,Hautes-Alpes
3185,Gaborit,Roger,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3185,12,12,1903,20,5,1996,Républicain radical et radical-socialiste,Charente-Maritime
3195,Gagnaire,Etienne,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3195,17,4,1906,19,9,1980,Socialiste,Rhône
3200,Gaillard,Félix,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3200,5,11,1919,9,7,1970,Républicain radical et radical-socialiste,Charente
3211,Galicier,"Emilienne, Berthe",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3211,11,6,1911,7,7,2007,Communiste,Nord
3246,Garat,Joseph,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3246,17,11,1911,23,12,1990,Socialiste,Basses-Pyrénées
3248,Garaudy,Roger,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3248,17,7,1913,13,6,2012,Communiste,Seine
3264,Garnier,Louis,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3264,11,7,1916,19,5,1964,Communiste,Doubs
3306,Gautier,André,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3306,26,4,1908,16,4,1983,Communiste,Seine-et-Marne
3327,Gazier,Albert,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3327,16,5,1908,2,3,1997,Socialiste,Seine
3382,Gernez,Raymond,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3382,27,11,1906,13,12,1991,Socialiste,Nord
3397,Giacobbi,François,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3397,19,7,1919,7,3,1997,Républicain radical et radical-socialiste,Corse
3432,Girard,Rosan,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3432,16,10,1913,5,6,2001,Communiste,Guadeloupe
3435,Girardot,Pierre,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3435,20,11,1913,3,1,2001,Communiste,Basses-Alpes
3487,Gosnat,"Georges, Raoul",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3487,3,12,1914,22,5,1982,Communiste,Charente-Maritime
3492,Goudoux,Jean,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3492,23,7,1910,15,9,1963,Communiste,Corrèze
3496,Gouin,"Félix, Jean",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3496,4,10,1884,25,10,1977,Socialiste,Bouches-du-Rhône
3510,Gourdon,Robert,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3510,22,2,1914,8,7,1979,Socialiste,Gard
3534,Gozard,Gilles,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3534,24,4,1910,13,5,1976,Socialiste,Allier
3550,Grappe,Elise,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3550,26,12,1911,25,11,1996,Communiste,Isère
3562,Gravoille,Gilles,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3562,13,11,1914,28,3,1991,Communiste,Loire-Atlantique
3571,Grenier,Fernand,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3571,9,7,1901,12,7,1992,Communiste,Seine
3631,Guérin,Rose,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3631,4,2,1915,20,9,1998,Communiste,Seine
3647,Guibert,Germain,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3647,26,11,1897,27,1,1968,Socialiste,Cantal
3673,Guille,Georges,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3673,20,7,1909,16,11,1985,Socialiste,Aude
3695,Guislain,Marcel,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3695,14,6,1899,10,6,1986,Socialiste,Nord
3699,Guitton,Jean,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3699,20,9,1906,17,10,1984,Socialiste,Loire-Atlantique
3708,Guyon,Jean-Raymond,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3708,2,4,1900,26,3,1961,Socialiste,Gironde
3711,Guyot,Raymond,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3711,17,11,1903,17,4,1986,Communiste,Seine
3736,Hamani Diori,Diori,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3736,16,6,1916,23,4,1989,Union démocratique et socialiste de la Résistance et du RDA,Niger
3742,Hamon,Marcel,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3742,14,4,1908,26,2,1994,Communiste,Côtes-du-Nord
5922,Harty de Pierrebourg,Olivier,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/5922,10,7,1908,22,7,1973,Républicain radical et radical-socialiste,Creuse
3793,Henneguelle,Henri,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3793,11,6,1908,27,12,1983,Socialiste,Pas-de-Calais
3817,Hernu,Charles,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3817,3,7,1923,17,1,1990,Républicain radical et radical-socialiste,Seine
3819,Herriot,Edouard,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3819,5,7,1872,26,3,1957,Républicain radical et radical-socialiste,Rhône
3821,Hersant,Robert,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3821,31,1,1920,21,4,1996,Républicain radical et radical-socialiste,Oise
3871,Houdremont,Jean,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3871,4,10,1924,25,1,1973,Communiste,Seine
3874,Houphouët-Boigny,Félix,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3874,18,10,1905,7,12,1993,Union démocratique et socialiste de la Résistance et du RDA,Côte-d'Ivoire
3881,Hovnanian,Léon,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3881,20,2,1920,13,2,2010,Républicain radical et radical-socialiste,Seine-et-Oise
3897,Hugues,Emile,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3897,7,4,1901,10,2,1966,Républicain radical et radical-socialiste,Alpes-Maritimes
3895,Hugues,"André, Joseph",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/3895,9,7,1905,10,10,1987,Républicain radical et radical-socialiste,Seine
4000,Jaquet,Gérard,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4000,12,1,1916,13,4,2013,Socialiste,Seine
4067,Jourd'Huy,Bernard,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4067,29,4,1925,16,11,1979,Communiste,Seine
4087,Juge,"Pierre, Albert",http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4087,16,12,1917,28,5,2000,Communiste,Tarn-et-Garonne
4094,Julian,Gaston,http://www2.assemblee-nationale.fr/sycomore/fiche/(num_dept)/4094,11,12,1909,15,12,2000,Communiste,Hautes-Alpes
